Date,Close,SMA_20,Upper_Band,Lower_Band,Signal
2024-04-25 04:00:00,28807.685546875,30626.68095703125,32835.188030532256,28418.173883530246,mantén
2024-04-26 04:00:00,29529.73046875,30581.321875,32842.86679766444,28319.77695233556,mantén
2024-04-29 04:00:00,29992.578125,30544.29404296875,32819.58149360437,28269.00659233313,mantén
2024-04-30 04:00:00,29714.869140625,30481.3466796875,32776.17567074923,28186.51768862577,mantén
2024-05-02 04:00:00,30214.744140625,30425.8046875,32688.140811059387,28163.468563940613,mantén
2024-05-03 04:00:00,29714.869140625,30292.50439453125,32376.98502193987,28208.02376712263,mantén
2024-05-06 04:00:00,30733.134765625,30246.21953125,32242.18866403465,28250.250398465352,mantén
2024-05-07 04:00:00,30770.1640625,30187.9005859375,32038.806097541335,28336.995074333663,mantén
2024-05-08 04:00:00,30844.21875,30128.655859375,31798.404271044452,28458.90744770555,mantén
2024-05-09 04:00:00,30844.21875,30085.148046875,31620.8940726378,28549.402021112204,mantén
2024-05-10 04:00:00,30918.275390625,30041.64033203125,31414.921053355556,28668.359610706942,mantén
2024-05-14 04:00:00,31084.900390625,30051.82294921875,31454.031840788793,28649.614057648705,mantén
2024-05-15 04:00:00,31473.693359375,30097.18212890625,31622.758139174122,28571.606118638378,mantén
2024-05-16 04:00:00,31899.513671875,30165.68359375,31883.86684602155,28447.50034147845,vende
2024-05-17 04:00:00,32306.822265625,30276.7673828125,32242.469423852028,28311.065341772974,vende
2024-05-20 04:00:00,33121.43359375,30471.163671875,32746.97993579224,28195.347407957765,vende
2024-05-21 04:00:00,32954.80859375,30646.1203125,33122.4054478015,28169.835177198493,mantén
2024-05-22 04:00:00,32029.11328125,30767.38671875,33266.188094008,28268.585343492,mantén
2024-05-23 04:00:00,32029.11328125,30903.46416015625,33363.655464520016,28443.272855792486,mantén
2024-05-24 04:00:00,31843.97265625,31041.39296875,33378.654974175224,28704.130963324773,mantén
2024-05-27 04:00:00,32103.169921875,31206.1671875,33335.816557102284,29076.51781789772,mantén
2024-05-28 04:00:00,31881.0,31323.7306640625,33319.078749263586,29328.382578861416,mantén
2024-05-29 04:00:00,31473.693359375,31397.78642578125,33292.518903559816,29503.05394800269,mantén
2024-05-30 04:00:00,31584.77734375,31491.2818359375,33212.99947288135,29769.564198993656,mantén
2024-05-31 04:00:00,31547.751953125,31557.9322265625,33171.38064836618,29944.483804758824,mantén
2024-06-04 04:00:00,31695.861328125,31656.9818359375,33017.41531891379,30296.548352961207,mantén
2024-06-05 04:00:00,32195.73828125,31730.11201171875,33037.66143825432,30422.56258518318,mantén
2024-06-06 04:00:00,32177.22265625,31800.46494140625,33040.195243773895,30560.734639038612,mantén
2024-06-07 04:00:00,32473.443359375,31881.926171875,33070.131172659465,30693.721171090532,mantén
2024-06-11 04:00:00,31158.955078125,31897.66298828125,33035.25929070744,30760.066685855054,mantén
2024-06-12 04:00:00,31103.4140625,31906.919921875,33013.551879228,30800.287964522002,mantén
2024-06-13 04:00:00,31381.12109375,31921.73095703125,32989.27844992957,30854.18346413293,mantén
2024-06-14 04:00:00,31010.845703125,31898.58857421875,33025.450700450565,30771.726447986934,mantén
2024-06-17 04:00:00,31195.986328125,31863.41220703125,33033.25594099833,30693.568473064177,mantén
2024-06-18 04:00:00,31677.34765625,31831.9384765625,32985.30734911643,30678.569604008568,mantén
2024-06-19 04:00:00,31769.916015625,31764.36259765625,32745.066209951106,30783.658985361395,mantén
2024-06-20 04:00:00,31473.693359375,31690.3068359375,32501.556009372005,30879.057662502993,mantén
2024-06-21 04:00:00,31325.583984375,31655.13037109375,32465.533789688117,30844.726952499383,mantén
2024-06-24 04:00:00,31936.54296875,31650.50185546875,32452.929940329443,30848.073770608054,mantén
2024-06-25 04:00:00,31712.333984375,31643.919921875,32441.812840879233,30846.027002870767,mantén
2024-06-26 04:00:00,31636.330078125,31620.5779296875,32388.65925003659,30852.49660933841,mantén
2024-06-27 04:00:00,32282.357421875,31640.64580078125,32456.841777924525,30824.449823637977,mantén
2024-06-28 04:00:00,32377.36328125,31685.829296875,32561.029599867314,30810.628993882685,mantén
2024-07-02 04:00:00,32510.3671875,31732.1087890625,32679.704013229337,30784.51356489566,mantén
2024-07-03 04:00:00,32225.35546875,31765.98896484375,32734.06322090706,30797.914708780438,mantén
2024-07-04 04:00:00,32358.359375,31799.1138671875,32801.80356775774,30796.42416661726,mantén
2024-07-05 04:00:00,32206.3515625,31799.64453125,32803.228897074696,30796.0601654253,mantén
2024-07-08 04:00:00,32206.3515625,31801.1009765625,32807.074236219414,30795.127716905587,mantén
2024-07-09 04:00:00,31940.341796875,31774.4458984375,32732.51954778272,30816.372249092285,mantén
2024-07-10 04:00:00,32149.353515625,31823.9658203125,32749.934061980253,30897.997578644747,mantén
2024-07-11 04:00:00,32301.357421875,31883.86298828125,32767.597422990802,31000.128553571696,mantén
2024-07-12 04:00:00,32187.353515625,31924.174609375,32784.59588556238,31063.753333187622,mantén
2024-07-15 04:00:00,32092.349609375,31978.2498046875,32725.47953391154,31231.02007546346,mantén
2024-07-16 04:00:00,32377.36328125,32037.31865234375,32706.921224064827,31367.716080622675,mantén
2024-07-17 04:00:00,32111.34765625,32059.01865234375,32707.29239157728,31410.744913110222,mantén
2024-07-18 04:00:00,32092.349609375,32075.14033203125,32709.01927476137,31441.26138930113,mantén
2024-07-19 04:00:00,32301.357421875,32116.52353515625,32690.29155401816,31542.755516294343,mantén
2024-07-22 04:00:00,32016.34765625,32151.06171875,32592.19384448342,31709.92959301658,mantén
2024-07-23 04:00:00,31940.341796875,32151.25166015625,32591.997975422953,31710.505344889545,mantén
2024-07-24 04:00:00,31788.3359375,32155.0517578125,32580.92362495085,31729.17989067415,mantén
2024-07-25 04:00:00,31617.328125,32154.10166015625,32584.902382163826,31723.300938148677,compra
2024-07-26 04:00:00,31484.32421875,32114.2,32633.685256531342,31594.71474346866,compra
2024-07-29 04:00:00,31351.318359375,32062.89775390625,32668.477685046284,31457.317822766217,compra
2024-07-30 04:00:00,31579.328125,32016.34580078125,32620.231901396557,31412.459700165946,mantén
2024-07-31 04:00:00,32206.3515625,32015.39560546875,32617.955337858213,31412.83587307929,mantén
2024-08-01 04:00:00,32206.3515625,32007.79521484375,32595.7992086135,31419.791221074003,mantén
2024-08-02 04:00:00,31370.318359375,31965.9935546875,32610.698440499345,31321.28866887565,mantén
2024-08-05 04:00:00,30686.2890625,31889.9904296875,32740.82939233565,31039.151467039348,compra
2024-08-06 04:00:00,30686.2890625,31827.28779296875,32833.20526105684,30821.370324880656,compra
2024-08-07 04:00:00,30401.27734375,31739.883984375,32917.15766192609,30562.610306823906,compra
2024-08-08 04:00:00,30401.27734375,31644.87998046875,32932.8382450306,30356.9217159069,mantén
2024-08-09 04:00:00,30515.283203125,31561.27646484375,32916.297825716036,30206.255103971467,mantén
2024-08-12 04:00:00,31807.3359375,31547.02578125,32884.41039778448,30209.64116471552,mantén
2024-08-13 04:00:00,32054.34765625,31530.875,32833.385678879524,30228.36432112048,mantén
2024-08-14 04:00:00,32396.361328125,31545.12568359375,32880.20646298989,30210.04490419761,mantén
2024-08-15 04:00:00,32757.376953125,31578.37705078125,33001.09345280741,30155.660648755096,mantén
2024-08-16 04:00:00,32548.369140625,31590.72763671875,33043.83411745763,30137.621155979876,mantén
2024-08-20 04:00:00,31788.3359375,31579.32705078125,33021.9131630009,30136.740938561597,mantén
2024-08-21 04:00:00,32111.34765625,31587.87734375,33041.458178907524,30134.29650859247,mantén
2024-08-22 04:00:00,31731.333984375,31585.02724609375,33037.175970490964,30132.878521696537,mantén
2024-08-23 04:00:00,31579.328125,31583.12724609375,33035.197459170915,30131.05703301659,mantén
2024-08-26 04:00:00,32301.357421875,31623.97890625,33109.92201821934,30138.03579428066,mantén
2024-08-27 04:00:00,31978.341796875,31655.330078125,33143.50800268238,30167.152153567622,mantén
2024-08-28 04:00:00,32301.357421875,31691.43154296875,33206.63227718682,30176.23080875068,mantén
2024-08-29 04:00:00,31978.341796875,31680.0310546875,33182.29485191961,30177.76725745539,mantén
2024-08-30 04:00:00,33042.390625,31721.8330078125,33328.65043820611,30115.015577418893,mantén
2024-09-02 04:00:00,32795.37890625,31793.08603515625,33459.55056123991,30126.621509072596,mantén
2024-09-03 04:00:00,32814.37890625,31899.49052734375,33539.955503149446,30259.025551538056,mantén
2024-09-04 04:00:00,32605.369140625,31995.44453125,33559.85858029878,30431.03048220122,mantén
2024-09-05 04:00:00,32567.3671875,32103.7490234375,33493.65534345837,30713.842703416627,mantén
2024-09-06 04:00:00,32111.34765625,32189.2525390625,33325.42051153649,31053.084566588517,mantén
2024-09-09 04:00:00,31769.333984375,32251.955078125,33101.375311333446,31402.534844916554,mantén
2024-09-10 04:00:00,31769.333984375,32250.05498046875,33103.821830471075,31396.288130466426,mantén
2024-09-11 04:00:00,31845.337890625,32239.6044921875,33108.441588447255,31370.767395927745,mantén
2024-09-12 04:00:00,31978.341796875,32218.703515625,33091.764494763716,31345.64253648628,mantén
2024-09-13 04:00:00,31636.330078125,32162.651171875,33034.040980325575,31291.26136342443,mantén
2024-09-16 04:00:00,32016.34765625,32136.05009765625,32990.17260410002,31281.92759121248,mantén
2024-09-17 04:00:00,31655.330078125,32129.3998046875,32996.88825910957,31261.91135026543,mantén
2024-09-18 04:00:00,31541.32421875,32100.8986328125,33007.460410181615,31194.336855443384,mantén
2024-09-19 04:00:00,32054.34765625,32117.04931640625,33007.25092447866,31226.847708333837,mantén
2024-09-20 04:00:00,31902.33984375,32133.19990234375,32993.54488073548,31272.854923952018,mantén
2024-09-23 04:00:00,32244.353515625,32130.34970703125,32988.72451669531,31271.9748973672,mantén
2024-09-24 04:00:00,32662.37109375,32164.551171875,33051.45949658499,31277.642847165003,mantén
2024-09-25 04:00:00,33095.3203125,32204.24931640625,33183.236621050106,31225.262011762396,mantén
2024-09-26 04:00:00,33075.8203125,32259.1232421875,33305.50603586987,31212.740448505134,mantén
2024-09-27 04:00:00,32744.28125,32244.2177734375,33251.37976390351,31237.05578297149,mantén
2024-09-30 04:00:00,32354.236328125,32222.16064453125,33197.31274665125,31247.008542411244,mantén
2024-10-01 04:00:00,32178.716796875,32190.3775390625,33124.84494023414,31255.91013789086,mantén
2024-10-02 04:00:00,32081.205078125,32164.1693359375,33078.8222740786,31249.516397796397,mantén
2024-10-03 04:00:00,31925.1875,32132.0603515625,33032.08684939345,31232.03385373155,mantén
2024-10-04 04:00:00,31769.169921875,32114.95146484375,33029.527320280955,31200.375609406543,mantén
